song,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,track_popularity
I Don't Care (with Justin Bieber) - Loud Luxury Remix,Ed Sheeran,0.748,0.916,6,-2.634,1,0.0583,0.102,0.0,0.0653,66
Memories - Dillon Francis Remix,Maroon 5,0.726,0.815,11,-4.969,1,0.0373,0.0724,0.00421,0.357,67
All the Time - Don Diablo Remix,Zara Larsson,0.675,0.931,1,-3.432,0,0.0742,0.0794,2.33e-05,0.11,70
Call You Mine - Keanu Silva Remix,The Chainsmokers,0.718,0.93,7,-3.778,1,0.102,0.0287,9.43e-06,0.204,60
Someone You Loved - Future Humans Remix,Lewis Capaldi,0.65,0.833,1,-4.672,1,0.0359,0.0803,0.0,0.0833,69
Beautiful People (feat. Khalid) - Jack Wins Remix,Ed Sheeran,0.675,0.919,8,-5.385,1,0.127,0.0799,0.0,0.143,67
Never Really Over - R3HAB Remix,Katy Perry,0.449,0.856,5,-4.788,0,0.0623,0.187,0.0,0.176,62
Post Malone (feat. RANI) - GATTÜSO Remix,Sam Feldt,0.542,0.903,4,-2.419,0,0.0434,0.0335,4.83e-06,0.111,69
Tough Love - Tiësto Remix / Radio Edit,Avicii,0.594,0.935,8,-3.562,1,0.0565,0.0249,3.97e-06,0.637,68
If I Can't Have You - Gryffin Remix,Shawn Mendes,0.642,0.818,2,-4.552,1,0.032,0.0567,0.0,0.0919,67
Cross Me (feat. Chance the Rapper & PnB Rock) - M-22 Remix,Ed Sheeran,0.679,0.923,6,-6.5,1,0.181,0.146,4.92e-06,0.124,58
Hate Me - R3HAB Remix,Ellie Goulding,0.437,0.774,8,-4.918,1,0.0554,0.148,0.0,0.133,67
Body On My,Loud Luxury,0.744,0.726,1,-4.675,1,0.0463,0.0399,0.0,0.374,67
SOS - Laidback Luke Tribute Remix / Radio Edit,Avicii,0.572,0.915,5,-4.451,0,0.0625,0.0111,0.0,0.339,68
Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy) - Tiësto Remix,Martin Garrix,0.69,0.78,5,-4.446,0,0.0594,0.00733,0.00183,0.0729,63
South of the Border (feat. Camila Cabello & Cardi B) - Andy Jarvis Remix,Ed Sheeran,0.805,0.835,0,-4.603,1,0.0896,0.13,5.03e-06,0.365,66
All My Friends - Eden Prince Remix,AJ Mitchell,0.694,0.901,1,-4.322,0,0.0948,0.0702,0.0,0.427,60
Say My Name (feat. Bebe Rexha & J Balvin) - Lucas & Steve Remix,David Guetta,0.678,0.747,10,-5.289,0,0.165,0.0395,0.0,0.174,65
Dancing With A Stranger (With Normani) - Cheat Codes Remix,Sam Smith,0.746,0.557,1,-6.722,1,0.0542,0.103,0.0036,0.138,69
Let It Be Me - Sondr Remix,Steve Aoki,0.467,0.821,7,-5.466,1,0.0934,0.00791,0.000441,0.131,35
Heaven - David Guetta & MORTEN Remix,Avicii,0.572,0.934,6,-5.053,0,0.0446,0.00292,0.0198,0.105,70
All Around The World (La La La) - Marnik Remix,R3HAB,0.708,0.913,9,-4.329,0,0.0348,0.089,0.081,0.113,64
Don't Leave Me Alone (feat. Anne-Marie) - EDX's Indian Summer Remix,David Guetta,0.684,0.818,4,-4.477,0,0.128,0.0469,3.39e-06,0.119,62
Slow Dance (feat. Ava Max) - Sam Feldt Remix,AJ Mitchell,0.732,0.85,1,-5.999,1,0.0444,0.114,2.02e-06,0.0388,70
Do You Mean (feat. Ty Dolla $ign & bülow) - Myon Remix,The Chainsmokers,0.62,0.889,11,-3.785,1,0.0352,0.0163,1.86e-05,0.395,58
Hold Me While You Wait - Steve Void Remix,Lewis Capaldi,0.675,0.76,11,-7.037,1,0.0434,0.104,0.0,0.33,63
One Thing Right - Firebeatz Remix,Marshmello,0.682,0.851,1,-7.117,0,0.0363,0.0146,0.000834,0.0289,66
Close To Me (with Diplo) (feat. Swae Lee) - CID Remix,Ellie Goulding,0.663,0.905,1,-3.781,0,0.0511,0.0325,0.0,0.333,8
So Am I - Toby Green Remix,Ava Max,0.625,0.938,6,-3.983,1,0.0517,0.00432,0.00026,0.0923,62
When You Leave - Breathe Carolina Remix,Nikki Vianna,0.679,0.909,1,-2.929,1,0.105,0.0334,0.0,0.269,30
Mother - Fedde Le Grand Remix,Charlie Puth,0.641,0.869,11,-4.754,1,0.0423,0.0319,0.00131,0.403,56
Signs - Eden Prince Remix,Starley,0.702,0.814,0,-7.51,0,0.0841,0.107,3.03e-05,0.374,56
Ruin My Life - Steve James Remix,Zara Larsson,0.723,0.837,11,-6.487,1,0.0389,0.0103,0.000477,0.0834,58
